,lng,lat
198,99.883331,6.45
199,22.583332,51.083332
200,22.583332,51.083332
201,106.416664,25.75
202,99.883331,6.45
203,22.583332,51.083332
204,22.583332,51.083332
205,22.583332,51.083332
206,22.583332,51.083332
207,22.583332,51.083332
208,22.583332,51.083332
209,-79.1577,41.8536
210,126.081947,-18.733334
211,126.962502,-18.491667
212,8.345,50.735001
213,8.345,50.735001
214,3.091667,43.472221
215,3.091667,43.472221
216,3.091667,43.472221
217,3.05,43.433334
218,11.8,50.566666
219,8.345,50.735001
220,8.345,50.735001
221,-5.566667,33.166668
222,16.758333,49.241669
223,57.25,54.5
224,8.345,50.735001
225,8.345,50.735001
226,8.345,50.735001
227,8.175,50.709999
228,-3.91,31.26
229,16.758333,49.241669
230,72.166664,36.191666
231,52.099998,32.995834
232,126.077782,-18.731388
233,126.074997,-18.733334
234,126.077499,-18.736389
235,8.345,50.735001
236,3.05,43.433334
237,-5.566667,33.166668
238,126.077499,-18.736389
239,126.120834,-18.745832
240,126.077782,-18.731388
241,126.074997,-18.733334
242,126.033333,-18.75
243,126.077782,-18.731388
244,126.074997,-18.733334
245,126.077782,-18.731388
246,126.033333,-18.75
247,8.345,50.735001
248,7.116667,51.25
249,3.05,43.433334
250,-5.566667,33.166668
251,126.033333,-18.75
252,126.033333,-18.75
253,8.345,50.735001
254,3.05,43.433334
255,-5.566667,33.166668
256,126.080559,-18.733334
257,126.081947,-18.733334
258,8.345,50.735001
259,3.05,43.433334
260,-5.566667,33.166668
261,126.077499,-18.736389
262,126.080559,-18.733334
263,126.077499,-18.736389
264,126.120834,-18.745832
265,-2.408333,30.225
266,126.033333,-18.75
267,126.033333,-18.75
268,126.074997,-18.725
269,126.041664,-18.768057
270,126.083336,-18.733334
271,126.077499,-18.736389
272,126.120834,-18.745832
273,126.041664,-18.768057
274,126.074997,-18.725
275,126.074997,-18.725
276,126.033333,-18.75
277,3.05,43.433334
278,126.077782,-18.731388
279,126.033333,-18.75
280,126.077782,-18.731388
281,126.033333,-18.75
282,126.077499,-18.736389
283,126.033333,-18.75
284,126.120834,-18.745832
285,126.074997,-18.725
286,126.074997,-18.725
287,126.033333,-18.75
288,126.077499,-18.736389
289,126.120834,-18.745832
290,8.345,50.735001
291,3.05,43.433334
292,-5.566667,33.166668
293,126.083336,-18.733334
294,126.077499,-18.736389
295,126.120834,-18.745832
296,8.345,50.735001
297,3.05,43.433334
298,126.074997,-18.725
299,126.033333,-18.75
300,126.041664,-18.768057
301,126.033333,-18.75
302,126.074997,-18.725
303,126.041664,-18.768057
304,126.033333,-18.75
305,8.345,50.735001
306,8.345,50.735001
307,-5.566667,33.166668
308,8.345,50.735001
309,3.05,43.433334
310,3.091667,43.472221
311,126.077782,-18.731388
312,126.033333,-18.75
313,4.508333,50.070831
314,57.099998,33.666668
315,57.099998,33.666668
