accepted_name,max_ma,min_ma,ref_author,ref_pubyr,phylum,class,order,family,genus,abund_value,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,formation,stratcomments,environment,collectors,taxonomy_comments,primary_reference
Phacops granulatus,364.7,360.7,Yuan and Xiang,1998,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,106.383331,25.766666,Phacops (Phacops) granulatus guilinensis,GH 7. Muhua Section,,,CN,Daihua,,carbonate indet.,,,J. Yuan and L.-W. Xiang. 1998. Trilobite fauna at the Devonian-Carboniferous boundary in South China (S-Guizhou and N-Guangxi). 8:1-281
Phacops granulatus,364.7,360.7,Yuan and Xiang,1998,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,106.383331,25.766666,Phacops (Phacops) granulatus guilinensis,GH 8. Muhua Section,,,CN,Daihua,,carbonate indet.,,,J. Yuan and L.-W. Xiang. 1998. Trilobite fauna at the Devonian-Carboniferous boundary in South China (S-Guizhou and N-Guangxi). 8:1-281
Phacops granulatus,364.7,360.7,ChlupÃ¡Ä,1966,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,16.633333,49.200001,,HÃ¡dy VI. Hady u Brno,,"Hady Hill, Brno",CZ,Lisen,Was Hady Formation,,,,
Phacops granulatus,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,7.833333,51.400002,,Ober-RÃ¶dinghausen Bed 03,,"Ober-Roedinghausen D/C boundary section, Famennian part",DE,Wocklum Limestone,Series of beds below the thick (several m) Hangenberg shale interval. Klein (2016) puts this into an ammonite zone.,marine indet.,,,"C. Brauckmann, I. Chlupac, and R. Feist. 1993. Trilobites at the Devonian-Carboniferous boundary. Annales de la Societe geologique de Belgique 115(2):507-518"
Phacops granulatus,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,7.833333,51.400002,,Ober-RÃ¶dinghausen Bed 01,,"Ober-Roedinghausen D/C boundary section, Famennian part",DE,Wocklum Limestone,Series of beds below the thick (several m) Hangenberg shale interval.,marine indet.,,,"C. Brauckmann, I. Chlupac, and R. Feist. 1993. Trilobites at the Devonian-Carboniferous boundary. Annales de la Societe geologique de Belgique 115(2):507-518"
Phacops granulatus,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,7.833333,51.400002,,Ober-RÃ¶dinghausen Bed 02,,"Ober-Roedinghausen D/C boundary section, Famennian part",DE,Wocklum Limestone,Series of beds below the thick (several m) Hangenberg shale interval. Klein (2016) puts this into an ammonite zone.,marine indet.,,,"C. Brauckmann, I. Chlupac, and R. Feist. 1993. Trilobites at the Devonian-Carboniferous boundary. Annales de la Societe geologique de Belgique 115(2):507-518"
Phacops granulatus,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,7.833333,51.400002,,Ober-RÃ¶dinghausen Bed 04,,"Ober-Roedinghausen D/C boundary section, Famennian part",DE,Wocklum Limestone,Series of beds below the thick (several m) Hangenberg shale interval. Klein (2016) puts this into an ammonite zone.,marine indet.,,,"C. Brauckmann, I. Chlupac, and R. Feist. 1993. Trilobites at the Devonian-Carboniferous boundary. Annales de la Societe geologique de Belgique 115(2):507-518"
Phacops granulatus,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,7.833333,51.400002,,Ober-RÃ¶dinghausen Bed 05-08,,"Ober-Roedinghausen D/C boundary section, Famennian part",DE,Wocklum Limestone,Series of beds below the thick (several m) Hangenberg shale interval. PJW: I took the average of the 4 beds over which these species span. Klein (2016) puts this into an ammonite zone.,marine indet.,,,"C. Brauckmann, I. Chlupac, and R. Feist. 1993. Trilobites at the Devonian-Carboniferous boundary. Annales de la Societe geologique de Belgique 115(2):507-518"
Phacops granulatus,364.7,360.7,Feist and McNamara,2013,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,7.833333,51.400002,,Ober-RÃ¶dinghausen Bed 09,,"Ober-Roedinghausen D/C boundary section, Famennian part",DE,Wocklum Limestone,Series of beds below the thick (several m) Hangenberg shale interval. PJW: I took the average of the 4 beds over which these species span. Klein (2016) puts this into an ammonite zone.,marine indet.,,,"R. Feist and K. J. McNamara. 2013. Patterns Of Evolution And Extinction In Proetid Trilobites During The Late Devonian Mass Extinction Event, Canning Basin, Western Australia. Palaeontology 56(2):229-259"
Phacops granulatus,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,4.500000,44.000000,,"La Serre D/C boundary section, Famennian part",,,FR,Griottes,latest Famennian. Approx D/C boundary (praesulcata/sulcata boundary) between beds 88 and 89. PJW: This is now the Griottes Formation.,marine indet.,,,"C. Brauckmann, I. Chlupac, and R. Feist. 1993. Trilobites at the Devonian-Carboniferous boundary. Annales de la Societe geologique de Belgique 115(2):507-518"
Phacops granulatus,364.7,360.7,Feist et al.,2003,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,57.099998,33.666668,,"Top of Hill III. Northwest of Niaz, Kale Sardar",,,IR,Shishtu,"""Cephalopod beds of StÃ´cklin et a|.,1965",,,,
Phacops granulatus,364.7,360.7,OsmÃ³lska,1962,Arthropoda,Trilobita,Phacopida,Phacopidae,Phacops,,20.400000,50.833332,,Bed 7. Ostrowka Hill,,,PL,Ostrowka Quarry,,deep subtidal indet.,,,"H. OsmÃ³lska. 1962. Famennian and Lower Carboniferous Cyrtosymbolinae (Trilobita) from the Holy Cross Mountains, Poland. Acta Palaeontologica Polonica 7(1/2):53-204"
Anglibole anglicus,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Proetida,Phillipsiidae,Semiproetus (Anglibole),,7.833333,51.400002,,Ober-RÃ¶dinghausen Bed 03,,"Ober-Roedinghausen D/C boundary section, Famennian part",DE,Wocklum Limestone,Series of beds below the thick (several m) Hangenberg shale interval. Klein (2016) puts this into an ammonite zone.,marine indet.,,,"C. Brauckmann, I. Chlupac, and R. Feist. 1993. Trilobites at the Devonian-Carboniferous boundary. Annales de la Societe geologique de Belgique 115(2):507-518"
